"heat-flux-rfile"
"Iteration" "heat-flux"
("Iteration" "heat-flux")
1 69105.04192527875
2 51573.44775664536
3 39840.84458233009
4 31860.50070546286
5 26244.40148464385
6 22186.43054220443
7 19178.60942719112
8 16856.11723879506
9 14999.99820255083
10 13479.79317501182
11 12202.1398344659
12 11110.8186065069
13 10158.21546909193
14 9315.924614202548
15 8562.546411679356
16 7879.394576053289
17 7256.439350236464
18 6683.272416019888
19 6153.260836709507
20 5660.877989595585
21 5202.006565858835
22 4773.451690814446
23 4372.720627087896
24 3997.849273108681
25 3647.264884938512
26 3319.684514803504
27 3014.02964217751
28 2729.362237427697
29 2464.834892232204
30 2219.65386194059
31 1993.049606817602
32 1784.256553937434
33 1592.499735280249
34 1416.98746814747
35 1256.908074042703
36 1111.430281325342
37 979.7065883691466
38 860.8785992095764
39 754.0836533946367
40 658.4621222121568
41 573.1648665896628
42 497.3570998232244
43 430.238410219572
44 371.0288872548281
45 318.9865316393298
46 273.4087093381331
47 233.6347657797269
48 199.0479811832683
49 169.0766197051726
50 143.1941366127503
51 120.918658800314
52 101.8118548322163
53 85.4773086886853
54 71.55850638238553
55 59.73653692503467
56 49.72759945491271
57 41.28039734738559
58 34.17348874992786
59 28.21265150459476
60 23.22830946793874
61 19.07305704981263
62 15.6193095710023
