"cd-rfile"
"Iteration" "cd"
("Iteration" "cd")
1 0.800165184698537
2 0.5343619564786704
3 0.3862124930705513
4 0.3030367364325697
5 0.2555283034929692
6 0.228001187358804
7 0.2113989778357754
8 0.1998231298985368
9 0.1917799574419234
10 0.1860694242594671
11 0.1821063923407576
12 0.1792516519129733
13 0.1772131995295286
14 0.1757609095335197
15 0.1747175443850948
16 0.1739402640969016
17 0.1733767344445308
18 0.1729526890619708
19 0.1726430196099874
20 0.1724079213209102
21 0.1722290278151961
22 0.1720927726183243
23 0.1719890204915981
24 0.1719100142478567
25 0.1718495360036461
26 0.1718049406597289
27 0.1717709956298458
28 0.1717451698951674
29 0.1717255080380553
30 0.1717104383058883
31 0.1716984736528918
32 0.171689233564433
33 0.1716820791169972
34 0.1716765335203423
35 0.1716722319006967
36 0.1716688944990669
37 0.1716663058334958
38 0.17166430003128
39 0.1716627483151144
40 0.1716615876357144
41 0.1716606593323214
42 0.1716599665064106
43 0.1716594315058833
44 0.1716590187388667
45 0.1716587004761105
46 0.1716584554560352
47 0.1716582672856952
48 0.1716581232648429
49 0.1716580135094872
50 0.1716579302965381
51 0.1716578675736462
52 0.1716578205948712
53 0.1716577856421291
54 0.171657759810669
55 0.1716577408417814
56 0.1716577269907169
57 0.1716577169208752
58 0.1716577096183864
59 0.1716577043228152
60 0.1716577004708509
61 0.1716576976507286
62 0.1716576955655845
63 0.1716576940043138
